player_000001,Stephen,Curry,PG,Healthy
player_000002,Draymond,Green,PF,Healthy
player_000003,Klay,Thompson,SG,Healthy
player_000004,Jordan,Poole,SG,Healthy
player_000005,Jonathan,Kuminga,PF,Healthy
player_000006,De'Aaron,Fox,PG,Healthy
player_000007,Domantas,Sabonis,PF,Healthy
player_000008,Kevin,Huerter,SG,Healthy
player_000009,Malik,Monk,SG,Healthy
player_000010,Harrison,Barnes,SF,Healthy
player_000011,Kawhi,Leonard,SF,Healthy
player_000012,Ivica,Zubac,C,Healthy
player_000013,Paul,George,F,Healthy
player_000014,Bones,Hyland,PG,Healthy
player_000015,Terrance,Mann,SG,Healthy
player_000016,LeBron,James,SF,Healthy
player_000017,Anthony,Davis,PF,Healthy
player_000018,Dennis,Schroder,PG,Healthy
player_000019,Austin,Reeves,SG,Healthy
player_000020,Rui,Hachimura,PF,Healthy